datetime,testedPositive,peopleTested,hospitalized,serious,discharged,deaths,effectiveReproductionNumber,Tested Positive Diff,Tested Positive Diff(SMA5),Tested Positive Diff(SMA10)
2020-01-26,0.0,,,,,,,,,
2020-01-27,0.0,,,,,,,0.0,,
2020-01-28,0.0,,,,,,,0.0,,
2020-01-29,0.0,,,,,,,0.0,,
2020-01-30,0.0,,,,,,,0.0,,
2020-01-31,0.0,,,,,,,0.0,0.0,
2020-02-01,0.0,,,,,,,0.0,0.0,
2020-02-02,0.0,,,,,,,0.0,0.0,
2020-02-03,0.0,,,,,,,0.0,0.0,
2020-02-04,0.0,,,,,,,0.0,0.0,
2020-02-05,0.0,,,,,,,0.0,0.0,0.0
2020-02-06,0.0,,,,,,,0.0,0.0,0.0
2020-02-07,0.0,,,,,,,0.0,0.0,0.0
2020-02-08,0.0,,,,,,,0.0,0.0,0.0
2020-02-09,0.0,,,,,,,0.0,0.0,0.0
2020-02-10,0.0,,,,,,,0.0,0.0,0.0
2020-02-11,0.0,,,,,,,0.0,0.0,0.0
2020-02-12,0.0,,,,,,,0.0,0.0,0.0
2020-02-13,0.0,,,,,,,0.0,0.0,0.0
2020-02-14,0.0,,,,,,,0.0,0.0,0.0
2020-02-15,0.0,,,,,,,0.0,0.0,0.0
2020-02-16,0.0,,,,,,,0.0,0.0,0.0
2020-02-17,0.0,,,,,,,0.0,0.0,0.0
2020-02-18,0.0,,,,,,,0.0,0.0,0.0
2020-02-19,0.0,,,,,,,0.0,0.0,0.0
2020-02-20,0.0,,,,,,,0.0,0.0,0.0
2020-02-21,0.0,,,,,,,0.0,0.0,0.0
2020-02-22,0.0,,,,,,,0.0,0.0,0.0
2020-02-23,0.0,,,,,,,0.0,0.0,0.0
2020-02-24,0.0,,,,,,,0.0,0.0,0.0
2020-02-25,1.0,,,,,,,1.0,0.2,0.1
2020-02-26,1.0,,,,,,,0.0,0.2,0.1
2020-02-27,1.0,,,,,,,0.0,0.2,0.1
2020-02-28,1.0,,,,,,,0.0,0.2,0.1
2020-02-29,1.0,,,,,,,0.0,0.2,0.1
2020-03-01,1.0,,,,,,,0.0,0.0,0.1
2020-03-02,1.0,,,,,,,0.0,0.0,0.1
2020-03-03,1.0,,,,,,,0.0,0.0,0.1
2020-03-04,1.0,,,,,,,0.0,0.0,0.1
2020-03-05,1.0,,,,,,,0.0,0.0,0.1
2020-03-06,1.0,,,,,,,0.0,0.0,0.0
2020-03-07,1.0,,,,,,,0.0,0.0,0.0
2020-03-08,1.0,,,,,,,0.0,0.0,0.0
2020-03-09,1.0,,,,,,,0.0,0.0,0.0
2020-03-10,1.0,,,,,,,0.0,0.0,0.0
2020-03-11,1.0,62.0,,,,,,0.0,0.0,0.0
2020-03-12,1.0,67.0,,,,,,0.0,0.0,0.0
2020-03-13,1.0,70.0,,,,,,0.0,0.0,0.0
2020-03-14,1.0,70.0,,,,,,0.0,0.0,0.0
2020-03-15,1.0,70.0,,,,,,0.0,0.0,0.0
2020-03-16,1.0,73.0,,,,,,0.0,0.0,0.0
2020-03-17,1.0,79.0,,,,,,0.0,0.0,0.0
2020-03-18,1.0,79.0,,,,,,0.0,0.0,0.0
2020-03-19,1.0,83.0,,,,,,0.0,0.0,0.0
2020-03-20,1.0,83.0,,,,,,0.0,0.0,0.0
2020-03-21,1.0,83.0,,,,,,0.0,0.0,0.0
2020-03-22,1.0,83.0,,,,,,0.0,0.0,0.0
2020-03-23,1.0,93.0,,,,,,0.0,0.0,0.0
2020-03-24,1.0,96.0,,,,,,0.0,0.0,0.0
2020-03-25,1.0,99.0,,,,,,0.0,0.0,0.0
2020-03-26,1.0,104.0,,,,,,0.0,0.0,0.0
2020-03-27,1.0,110.0,,,,,,0.0,0.0,0.0
2020-03-28,1.0,110.0,0.0,,1.0,0.0,,0.0,0.0,0.0
2020-03-29,1.0,110.0,0.0,,1.0,0.0,,0.0,0.0,0.0
2020-03-30,1.0,123.0,0.0,,1.0,0.0,,0.0,0.0,0.0
2020-03-31,3.0,144.0,2.0,,1.0,0.0,,2.0,0.4,0.2
2020-04-01,3.0,144.0,2.0,,1.0,0.0,,0.0,0.4,0.2
2020-04-02,3.0,156.0,2.0,,1.0,0.0,,0.0,0.4,0.2
2020-04-03,3.0,164.0,2.0,,1.0,0.0,,0.0,0.4,0.2
2020-04-04,3.0,164.0,2.0,,1.0,0.0,,0.0,0.4,0.2
